id,name,name,name,attr,attr,attr,attr,attr,attr,attr,attr,attr,attr,attr,attr,attr,attr
46,Gulf of Finland,,,3232,312,,,,,,,,136,70,1,,
47,Black Sea,,,3337,661,,,,,,,,140,90,2,,
48,Barents Sea,,,3018,58,,,,,,,,145,41,3,,
49,Shetland,,,2825,261,,,,,,,,116,70,3,,
50,Iceland,,,2586,188,,,,,,,,103,63,4,,
51,Northwestern,,,1963,173,,,,,,,,74,57,4,,
52,Baltic North,,,3115,277,,,,,,,,131,73,3,,
53,Baltic South,,,3103,407,,,,,,,,129,76,2,,
54,Øresund,,,2991,412,,,,,,,,126,75,1,,
55,Aberdeen,,,2779,381,,,,,,,,115,74,2,,
56,Juntland,,,2911,422,,,,,,,,123,76,2,,
57,East Channel,,,2843,487,,,,,,,,117,82,1,,
58,West Channel,,,2745,531,,,,,,,,113,83,1,,
59,Ireland,,,2613,458,,,,,,,,111,79,2,,
60,Bay of Biscay,,,2723,627,,,,,,,,113,88,2,,
61,Portugal,,,2615,731,,,,,,,,110,94,2,,
62,Azores,,,2320,724,,,,,,,,97,94,3,,
63,Canaria,,,2506,918,,,,,,,,105,103,3,,
64,Bermuda,,,1854,616,,,,,,,,70,99,2,,
65,North Atlantic,,,2243,432,,,,,,,,92,88,3,,
66,Newfoundland,,,1943,391,,,,,,,,77,83,3,,
67,Eastern Seaboard,,,1669,563,,,,,,,,65,94,1,,
68,Gibraltar,,,2718,799,,,,,,,,113,96,4,,
69,Balearies,,,2864,749,,,,,,,,119,93,3,,
70,Sardina,,,2975,707,,,,,,,,123,92,2,,
71,Sicily,,,3035,741,,,,,,,,126,95,1,,
72,Malta,,,3021,815,,,,,,,,127,96,3,,
73,Adriatic,,,3047,673,,,,,,,,128,91,2,,
74,Crete,,,3165,826,,,,,,,,134,97,3,,
75,Cyprus,,,3295,825,,,,,,,,140,97,4,,
76,Bosphrous,,,3241,712,,,,,,,,137,91,3,,
77,Gulf of Mexico,,,1338,792,,,,,,,,53,105,3,,
78,Victoria,,,815,352,,,,,,,,29,84,3,,
79,Baja California,,,1086,826,,,,,,,,35,103,3,,
80,Bahamas,,,1610,786,,,,,,,,62,106,2,,
81,Trinidad,,,1890,1010,,,,,,,,73,116,3,,
82,Capo Verde,,,2384,1146,,,,,,,,99,112,4,,
83,Ascension,,,2555,1453,,,,,,,,106,129,4,,
84,St Helena,,,2723,1684,,,,,,,,112,135,4,,
85,Malvinas,,,1944,1955,,,,,,,,75,167,4,,
86,Brazilian Coast,,,2109,1595,,,,,,,,89,133,4,,
99,Fukushima No.1 Nuclear Plant,,,4996,770,,,,,,,,,,,,
1025,China,,,0,0,46,556,383,51,0,193,71,,,,,
1026,Korea and Japan,,,0,0,67,230,190,40,0,74,53,,,,,
1027,Indochina,,,0,0,0,54,58,50,447,185,16,,,,,
1028,Indonesia and Philippines,,,0,0,481,64,0,69,637,0,0,,,,,
1029,Australasia,,,0,0,0,111,100,0,0,67,75,,,,,
1030,India,,,0,0,154,213,115,13,183,198,87,,,,,
1031,Arabia,,,0,0,498,100,0,0,0,0,0,,,,,
1032,Turkey and Caucasus,,,0,0,325,158,107,0,0,0,248,,,,,
1033,Russia,,,0,0,774,345,658,178,0,88,233,,,,,
1034,Balkans,,,0,0,354,406,114,368,0,29,183,,,,,
1035,Eastern Europe,,,0,0,110,461,274,222,0,10,11,,,,,
1036,Central Europe,,,0,0,169,551,592,481,0,17,12,,,,,
1037,Italy,,,0,0,0,265,219,237,0,10,10,,,,,
1038,France and Benelux,,,0,0,0,441,787,523,0,0,0,,,,,
1039,British Isles,,,0,0,0,318,620,156,18,56,6,,,,,
1040,Nordic,,,0,0,0,333,542,125,0,165,70,,,,,
1041,North Africa,,,0,0,42,40,283,0,0,17,22,,,,,
1042,West Africa,,,0,0,0,34,132,0,92,26,13,,,,,
1043,Canada and Alaska,,,0,0,42,133,39,156,0,0,0,,,,,
1044,United States,,,0,0,2674,721,1005,503,0,195,6,,,,,
1045,Mexico and Central America,,,0,0,588,243,82,0,0,26,116,,,,,
1046,Grand Columbia,,,0,0,954,137,0,196,0,0,0,,,,,
1047,Brazil,,,0,0,57,188,70,72,77,15,21,,,,,
1048,Andes,,,0,0,145,101,34,0,0,119,0,,,,,
1049,La Plata,,,0,0,454,178,153,11,21,181,14,,,,,
1050,Siberia,,,0,0,211,111,354,118,0,26,128,,,,,
1051,Central Asia and Iran,,,0,0,448,120,53,37,0,31,79,,,,,
1052,Iberia,,,0,0,0,295,132,14,0,244,28,,,,,
1053,East Africa,,,0,0,0,57,0,0,52,0,0,,,,,
1054,Southern Africa,,,0,0,0,73,46,0,73,50,199,,,,,
